#id sdkAdded compatAdded codepoints
1F3E8 19 1 1F3E8
1F3E9 19 1 1F3E9
1F3EA 19 1 1F3EA
1F3EB 19 1 1F3EB
1F3EC 19 1 1F3EC
1F3ED 19 1 1F3ED
1F3EE 19 1 1F3EE
1F3EF 19 1 1F3EF
1F3F0 19 1 1F3F0
1F3F3 23 1 1F3F3
1F3F4 23 1 1F3F4
1F3F5 23 1 1F3F5
1F3F7 23 1 1F3F7
1F3F8 23 1 1F3F8
1F3F9 23 1 1F3F9
1F3FA 23 1 1F3FA
1F3FB 24 1 1F3FB
1F3FC 24 1 1F3FC
1F3FD 24 1 1F3FD
1F3FE 24 1 1F3FE
1F3FF 24 1 1F3FF
1F400 19 1 1F400
1F401 19 1 1F401
1F402 19 1 1F402
1F403 19 1 1F403
1F404 19 1 1F404
1F405 19 1 1F405
1F406 19 1 1F406
1F407 19 1 1F407
1F408 19 1 1F408
1F409 19 1 1F409
1F40A 19 1 1F40A
1F40B 19 1 1F40B
1F40C 19 1 1F40C
1F40D 19 1 1F40D
1F40E 19 1 1F40E
1F40F 19 1 1F40F
1F410 19 1 1F410
1F411 19 1 1F411
1F412 19 1 1F412
1F413 19 1 1F413
1F414 19 1 1F414
1F415 19 1 1F415
1F416 19 1 1F416
1F417 19 1 1F417
1F418 19 1 1F418
1F419 19 1 1F419
1F41A 19 1 1F41A
1F41B 19 1 1F41B
1F41C 19 1 1F41C
1F41D 19 1 1F41D
1F41E 19 1 1F41E
1F41F 19 1 1F41F
1F420 19 1 1F420
1F421 19 1 1F421
1F422 19 1 1F422
1F423 19 1 1F423
1F424 19 1 1F424
1F425 19 1 1F425
1F426 19 1 1F426
1F427 19 1 1F427
1F428 19 1 1F428
1F429 19 1 1F429
1F42A 19 1 1F42A
1F42B 19 1 1F42B
1F42C 19 1 1F42C
1F42D 19 1 1F42D
1F42E 19 1 1F42E
1F42F 19 1 1F42F
1F430 19 1 1F430
1F431 19 1 1F431
1F432 19 1 1F432
1F433 19 1 1F433
1F434 19 1 1F434
1F435 19 1 1F435
1F436 19 1 1F436
1F437 19 1 1F437
1F438 19 1 1F438
1F439 19 1 1F439
1F43A 19 1 1F43A
1F43B 19 1 1F43B
1F43C 19 1 1F43C
1F43D 19 1 1F43D
1F43E 19 1 1F43E
1F43F 23 1 1F43F
1F440 19 1 1F440
1F441 23 1 1F441
1F442 19 1 1F442
1F443 19 1 1F443
1F444 19 1 1F444
1F445 19 1 1F445
1F446 19 1 1F446
1F447 19 1 1F447
1F448 19 1 1F448
1F449 19 1 1F449
1F44A 19 1 1F44A
1F44B 19 1 1F44B
1F44C 19 1 1F44C
1F44D 19 1 1F44D
1F44E 19 1 1F44E
1F44F 19 1 1F44F
1F450 19 1 1F450
1F451 19 1 1F451
1F452 19 1 1F452
1F453 19 1 1F453
1F454 19 1 1F454
1F455 19 1 1F455
1F456 19 1 1F456
1F457 19 1 1F457
1F458 19 1 1F458
1F459 19 1 1F459
1F45A 19 1 1F45A
1F45B 19 1 1F45B
1F45C 19 1 1F45C
1F45D 19 1 1F45D
1F45E 19 1 1F45E
1F45F 19 1 1F45F
1F460 19 1 1F460
1F461 19 1 1F461
1F462 19 1 1F462
1F463 19 1 1F463
1F464 19 1 1F464
1F465 19 1 1F465
1F466 19 1 1F466
1F467 19 1 1F467
1F468 19 1 1F468
1F469 19 1 1F469
1F46A 19 1 1F46A
1F46B 19 1 1F46B
1F46C 19 1 1F46C
1F46D 19 1 1F46D
1F46E 19 1 1F46E
1F46F 19 1 1F46F
1F470 19 1 1F470
1F471 19 1 1F471
1F472 19 1 1F472
1F473 19 1 1F473
1F474 19 1 1F474
1F475 19 1 1F475
1F476 19 1 1F476
1F477 19 1 1F477
1F478 19 1 1F478
1F479 19 1 1F479
1F47A 19 1 1F47A
1F47B 19 1 1F47B
